epoch,train_loss,validation_loss,train_mae,train_mse,train_rmse,train_r2,validation_mae,validation_mse,validation_rmse,validation_r2,learning_rate,l1_lambda,loss_function,huber_delta,gradient_clip_norm,gradient_norm,epoch_time_seconds,device,stopped_early
1,126.75355940815267,68.74075219290597,11.13654899597168,126.82295227050781,11.26156970721701,-433.95767232543085,8.116056442260742,68.48303985595703,8.27544801542231,-232.27703543764412,0.0005,1e-06,mse,1.0,5.0,57.35564317034619,0.15712670900393277,cpu,False
2,24.145977080968034,5.621234098502568,4.087960243225098,24.16934585571289,4.91623289274551,-81.89227325364617,1.6076717376708984,5.762476444244385,2.4005158704420984,-18.628996343508057,0.0005,1e-06,mse,1.0,5.0,34.64746650118669,0.1120703750057146,cpu,False
3,1.911973172448218,1.7239174915211541,1.0031487941741943,1.9127352237701416,1.3830167113126803,-5.560003000667223,0.6481892466545105,1.7691147327423096,1.3300807241450834,-5.026219545923594,0.0005,1e-06,mse,1.0,5.0,5.697643278709637,0.1081462090369314,cpu,False
4,0.5268169946116275,1.150296437740326,0.5055102705955505,0.5261649489402771,0.7253722829969981,-0.8045591194279089,0.458430677652359,1.179825782775879,1.0861978561826933,-3.0188966435425817,0.0005,1e-06,mse,1.0,5.0,3.2629868614717603,0.10833491699304432,cpu,False
5,0.33538775000295074,1.0704506371702467,0.39338529109954834,0.33454057574272156,0.5783948268637277,-0.1473552565028622,0.37447595596313477,1.0979002714157104,1.047807363696071,-2.739829821486134,0.0005,1e-06,mse,1.0,5.0,2.6514163549535827,0.11153300001751631,cpu,False
6,0.24021340700423147,0.6839763315660613,0.3315274119377136,0.23934011161327362,0.4892239892046113,0.1791484196181361,0.32064270973205566,0.7008450031280518,0.8371648601846902,-1.3873216816429608,0.0005,1e-06,mse,1.0,5.0,2.305217705529554,0.18145483394619077,cpu,False
7,0.18031035321060143,0.5078231519886426,0.2889658808708191,0.1790841966867447,0.42318340785851316,0.38580480564929687,0.28920096158981323,0.519256591796875,0.7205946098860821,-0.7687683706771091,0.0005,1e-06,mse,1.0,5.0,1.9357035463586505,0.11040058289654553,cpu,False
8,0.13952401294149597,0.3698513828217983,0.25510063767433167,0.13863998651504517,0.3723439089270095,0.5245141147834372,0.2557029128074646,0.37882062792778015,0.615484059848653,-0.29039469894501524,0.0005,1e-06,mse,1.0,5.0,1.7274390087356426,0.1095332499826327,cpu,False
9,0.11050223981157441,0.2300503348665578,0.2276756763458252,0.10962995141744614,0.3311041398373722,0.6240082526066357,0.22882229089736938,0.2353779375553131,0.4851576419632212,0.19822096503157705,0.0005,1e-06,mse,1.0,5.0,1.4552827853558248,0.10938645899295807,cpu,False
10,0.09285136192652133,0.12990115966115678,0.2080530822277069,0.09192674607038498,0.3031942381879725,0.6847239178579028,0.20807577669620514,0.13257558643817902,0.36410930561876476,0.548401500744841,0.0005,1e-06,mse,1.0,5.0,1.296073772480567,0.16881070798262954,cpu,False
11,0.08057891687453893,0.12561359394873892,0.19366855919361115,0.07968060672283173,0.2822775349241093,0.7267238559185056,0.1973210573196411,0.12832827866077423,0.3582293659944341,0.5628692971028453,0.0005,1e-06,mse,1.0,5.0,1.185587085701003,0.13339220802299678,cpu,False
12,0.071579958824269,0.12509788806949343,0.18209992349147797,0.07065830379724503,0.2658162970873777,0.7576671196990594,0.18802540004253387,0.12777608633041382,0.3574578105600909,0.5647502350874449,0.0005,1e-06,mse,1.0,5.0,1.05673189939608,0.11359904194250703,cpu,False
13,0.06605920047805099,0.08556974157691002,0.17385758459568024,0.06514378637075424,0.25523280817863964,0.776579927663039,0.1780771017074585,0.08732157200574875,0.29550223688789357,0.7025523915975074,0.0005,1e-06,mse,1.0,5.0,1.0431704641048318,0.11533970793243498,cpu,False
14,0.06207075960439289,0.09894662065697568,0.16844938695430756,0.06113671883940697,0.247258404992443,0.7903227872403611,0.17397914826869965,0.1013164073228836,0.31830238347031525,0.6548811163267991,0.0005,1e-06,mse,1.0,5.0,0.9864288636679139,0.10899841599166393,cpu,False
15,0.05857713794768736,0.10203374826482364,0.16326163709163666,0.05766291543841362,0.24013103805716915,0.8022366977856936,0.17062649130821228,0.10455331951379776,0.32334705737612296,0.6438550621527335,0.0005,1e-06,mse,1.0,5.0,0.9655559886645567,0.1600849999813363,cpu,False
16,0.055824095204582515,0.12332997620105743,0.15923954546451569,0.05488995835185051,0.23428606094228166,0.8117469209809475,0.16925735771656036,0.1263580620288849,0.3554687919197477,0.569580542961396,0.0005,1e-06,mse,1.0,5.0,0.9201234075416058,0.11198287503793836,cpu,False
17,0.05448420339597327,0.12809477719877446,0.15629833936691284,0.053548362106084824,0.23140519031794604,0.8163481390403106,0.16881495714187622,0.13134083151817322,0.36240975637829237,0.5526075155501047,0.0005,1e-06,mse,1.0,5.0,0.9271724250483777,0.12634166702628136,cpu,False
18,0.052915806108845116,0.10126255143965994,0.15341316163539886,0.051978353410959244,0.2279876167930163,0.8217327121127856,0.1697346717119217,0.10379438102245331,0.3221713535099813,0.6464402849278906,0.0005,1e-06,mse,1.0,5.0,0.9383171515271232,0.11372637504246086,cpu,False
19,0.05113754634542659,0.07908505371638706,0.15112221240997314,0.050192076712846756,0.22403588264571986,0.8278590052924456,0.15955497324466705,0.08112125843763351,0.28481793910783343,0.7236728050080778,0.0005,1e-06,mse,1.0,5.0,0.8541782960790549,0.11615541600622237,cpu,False
20,0.050412347079753,0.10488482261342662,0.1499977558851242,0.04942420870065689,0.22231556108526657,0.8304925322649,0.17851613461971283,0.1071527749300003,0.327341984673522,0.6350004196287049,0.0005,1e-06,mse,1.0,5.0,0.8720014145893364,0.12113816698547453,cpu,False
21,0.051163183442725906,0.11965130168412413,0.14984233677387238,0.05010441318154335,0.22384015095943657,0.8281596640954444,0.16979151964187622,0.1226525530219078,0.3502178650810204,0.5822027836642361,0.0005,1e-06,mse,1.0,5.0,0.9993993918174308,0.10906779195647687,cpu,False
22,0.04927364752603853,0.10508738633777415,0.14783000946044922,0.048301730304956436,0.21977654630318594,0.8343422357943956,0.16554617881774902,0.10786345601081848,0.328425723734939,0.6325795911671972,0.0005,1e-06,mse,1.0,5.0,0.915203829093173,0.11087454203516245,cpu,False
23,0.048289716484306924,0.08966800035642726,0.1466268002986908,0.047339580953121185,0.2175766093887879,0.8376420591999492,0.16325697302818298,0.09196747839450836,0.3032614027444118,0.6867268102686959,0.0005,1e-06,mse,1.0,5.0,0.8926104325869867,0.11281779094133526,cpu,False
24,0.04720674884742696,0.09299811143428087,0.14478570222854614,0.04626160115003586,0.21508510211085252,0.8413391438064795,0.15797998011112213,0.09540677070617676,0.30887986452045846,0.6750113967341442,0.0005,1e-06,mse,1.0,5.0,0.8648575589445684,0.10815674997866154,cpu,False
25,0.04640484656932389,0.07775099382602743,0.14279146492481232,0.04546906799077988,0.21323477200208196,0.8440572535757866,0.15763656795024872,0.07972491532564163,0.28235600812740225,0.7284292248504118,0.0005,1e-06,mse,1.0,5.0,0.8037119573772613,0.10687287501059473,cpu,False
26,0.04704168460905772,0.12885063141584396,0.1434025764465332,0.04608413577079773,0.21467215881617654,0.8419477842385136,0.15604552626609802,0.13229526579380035,0.36372416168547334,0.5493563467887914,0.0005,1e-06,mse,1.0,5.0,0.8785905103401944,0.10721316700801253,cpu,False
27,0.046441920012290624,0.10362108273963844,0.14215251803398132,0.045498259365558624,0.21330320992793012,0.8439571387016721,0.15726986527442932,0.10626335442066193,0.32598060436268583,0.6380300911929472,0.0005,1e-06,mse,1.0,5.0,0.8926969010011736,0.10703187505714595,cpu,False
28,0.04508609103719357,0.0885866795799562,0.1399959772825241,0.04413311183452606,0.21007882290827426,0.8486391071585144,0.1595025509595871,0.09080658853054047,0.3013413156713504,0.6906812147488046,0.0005,1e-06,mse,1.0,5.0,0.8315528748880013,0.10724054102320224,cpu,False
29,0.04499500943175981,0.07008087468400065,0.14029987156391144,0.0440366268157959,0.209849057219221,0.8489700118914961,0.15341822803020477,0.07196657359600067,0.2682658636427689,0.7548568446210275,0.0005,1e-06,mse,1.0,5.0,0.8264359984670618,0.1132229589857161,cpu,False
30,0.044456907372743,0.08783064323610493,0.1393679827451706,0.043476466089487076,0.20851011028122132,0.8508911661776888,0.1579863578081131,0.09013659507036209,0.3002275721354754,0.6929634465249974,0.0005,1e-06,mse,1.0,5.0,0.8285939454812405,0.10756749997381121,cpu,False
31,0.044417560966582316,0.06881215636219297,0.13973139226436615,0.043461915105581284,0.20847521460735155,0.8509410725663542,0.15426373481750488,0.07059843093156815,0.26570365246185107,0.7595172267120374,0.0005,1e-06,mse,1.0,5.0,0.8408120254748862,0.10761429194826633,cpu,False
32,0.04517997823298198,0.07116045715021235,0.1404428631067276,0.04423924535512924,0.21033127526625525,0.8482751047019117,0.16289818286895752,0.07308700680732727,0.2703460870945375,0.751040250022412,0.0005,1e-06,mse,1.0,5.0,0.9310499815703318,0.1074205000186339,cpu,False
33,0.044149006576005824,0.10205200555335198,0.13845615088939667,0.04321127012372017,0.20787320684426883,0.8518006950062773,0.1573687344789505,0.10477638244628906,0.32369180163589106,0.6430952242438577,0.0005,1e-06,mse,1.0,5.0,0.8475248921401386,0.10737320792395622,cpu,False
34,0.042937979315204815,0.07024151856811452,0.13599953055381775,0.04198157787322998,0.20489406500245433,0.8560181129480312,0.15522491931915283,0.07215701043605804,0.2686205696443555,0.7542081606338682,0.0005,1e-06,mse,1.0,5.0,0.7979552963562997,0.10751179093495011,cpu,False
35,0.04324929574607593,0.09871249233505555,0.13739347457885742,0.04228171333670616,0.20562517680650433,0.8549887465322914,0.16374623775482178,0.10131090134382248,0.31829373437726116,0.654899880405819,0.0005,1e-06,mse,1.0,5.0,0.819289895221316,0.1066001660656184,cpu,False
36,0.04301996777913227,0.1306094295395139,0.13669677078723907,0.042077090591192245,0.20512701087665722,0.8556905294446726,0.15775899589061737,0.13419295847415924,0.36632357073243216,0.5428921573302459,0.0005,1e-06,mse,1.0,5.0,0.8124786957383596,0.10804912494495511,cpu,False
37,0.0432217777311472,0.09668619975979839,0.1361553966999054,0.04226253554224968,0.2055785386227115,0.8550545050320145,0.1574389636516571,0.09927822649478912,0.3150844751725942,0.6618238732492423,0.0005,1e-06,mse,1.0,5.0,0.8729008789212062,0.10706200008280575,cpu,False
38,0.04258346354856922,0.12903990069670337,0.13566769659519196,0.04163611680269241,0.20404929993188511,0.8572029105309199,0.1600562185049057,0.13238346576690674,0.36384538717277526,0.5490559307841525,0.0005,1e-06,mse,1.0,5.0,0.8123049550170828,0.10719479201361537,cpu,False
39,0.042385432257478525,0.0940327375927674,0.13532431423664093,0.04143691062927246,0.2035605822090133,0.8578861205330399,0.15237922966480255,0.09656871855258942,0.31075507808013275,0.671053392030488,0.0005,1e-06,mse,1.0,5.0,0.824117458614476,0.11360179202165455,cpu,False
40,0.04217969022718743,0.09228657017062818,0.13505059480667114,0.04123005270957947,0.20305184734342968,0.8585955646198554,0.16102801263332367,0.0946938544511795,0.3077236657314148,0.6774398309659281,0.0005,1e-06,mse,1.0,5.0,0.8367984578618264,0.10811891709454358,cpu,False
41,0.04192268667653258,0.12835234492085873,0.13529351353645325,0.04098062589764595,0.20243672072439317,0.8594510060402922,0.1586230993270874,0.13181276619434357,0.3630602790093452,0.5509999084446462,0.0005,1e-06,mse,1.0,5.0,0.8351981220870001,0.10713149991352111,cpu,False
42,0.042007599335260055,0.08797699471137353,0.13444125652313232,0.041059788316488266,0.2026321502538239,0.8591795177027265,0.15319086611270905,0.09033036231994629,0.3005500995174453,0.692303389646234,0.0005,1e-06,mse,1.0,5.0,0.8341790372815079,0.10999504092615098,cpu,False
43,0.041842265425737935,0.10851086074087236,0.13450871407985687,0.040898606181144714,0.20223403813686933,0.8597323064813922,0.15663568675518036,0.1114564836025238,0.33385099011763286,0.620340500082972,0.0005,1e-06,mse,1.0,5.0,0.8459157998711421,0.13822245795745403,cpu,False
44,0.0419812335244404,0.10123506328091025,0.1344030350446701,0.04101743549108505,0.2025276166133524,0.8593247658363242,0.1549859195947647,0.10393234342336655,0.3223853957972764,0.6459703246209513,0.0005,1e-06,mse,1.0,5.0,0.8653921741181194,0.1089821670902893,cpu,False
45,0.041758043389093835,0.06801120964810252,0.13441292941570282,0.04080919548869133,0.20201285971118604,0.8600389724147478,0.154009610414505,0.0697898343205452,0.26417765673982574,0.7622715646237743,0.0005,1e-06,mse,1.0,5.0,0.8670827182236632,0.10731016600038856,cpu,False
46,0.0410019620785634,0.09173948242262538,0.13329297304153442,0.04004689306020737,0.20011719831190763,0.8626533757602931,0.15527483820915222,0.09424373507499695,0.3069914250838237,0.6789730970315084,0.0005,1e-06,mse,1.0,5.0,0.809499687044383,0.10701470903586596,cpu,False
47,0.04067230569989149,0.1000457340651857,0.13204608857631683,0.03971249982714653,0.19927995340010127,0.863800233015708,0.15597113966941833,0.10272850841283798,0.3205128833804313,0.6500710030842709,0.0005,1e-06,mse,1.0,5.0,0.7854010653011914,0.1069284580880776,cpu,False
48,0.04049434447901605,0.09067931969517044,0.13202983140945435,0.03953360393643379,0.198830591047841,0.8644137794995093,0.15586015582084656,0.09308692812919617,0.3051015046327962,0.6829135774682275,0.0005,1e-06,mse,1.0,5.0,0.799723701503444,0.1073071249993518,cpu,False
49,0.040429077131804284,0.09387746062129736,0.13210904598236084,0.03946510702371597,0.19865826694028108,0.8646487020423772,0.15311305224895477,0.09631911665201187,0.31035321273028876,0.6719036170086958,0.0005,1e-06,mse,1.0,5.0,0.798653053071666,0.1066327498992905,cpu,False
50,0.04011051642375129,0.11780223279659237,0.1314936876296997,0.03915336728096008,0.1978720982881621,0.8657178717926508,0.1573488563299179,0.12094307690858841,0.3477687118022385,0.5880258472208182,0.0005,1e-06,mse,1.0,5.0,0.7872804729920911,0.10613179195206612,cpu,False
51,0.04096728036475687,0.0766247661252107,0.13268545269966125,0.039996035397052765,0.1999900882470248,0.8628278076367554,0.1539236605167389,0.078546904027462,0.28026220584920475,0.7324419481834845,0.0005,1e-06,mse,1.0,5.0,0.8392669103242374,0.10664662497583777,cpu,False
52,0.0403712958310528,0.08144878601389272,0.13223105669021606,0.03939598798751831,0.19848422604206692,0.8648857513466024,0.1529252678155899,0.08359202742576599,0.28912285870502524,0.7152565075828814,0.0005,1e-06,mse,1.0,5.0,0.8030518338469121,0.10654120903927833,cpu,False
53,0.039551228989341825,0.08686288208035486,0.13056254386901855,0.03857633098959923,0.19640858176159012,0.8676968827575433,0.15533077716827393,0.0891302302479744,0.29854686440821043,0.6963914792484068,0.0005,1e-06,mse,1.0,5.0,0.7549100644694043,0.10669379192404449,cpu,False
54,0.039748573108710265,0.08957546981317656,0.13127247989177704,0.03875574469566345,0.1968647878511123,0.867081559944654,0.15341489017009735,0.09194488078355789,0.303224142811152,0.6868037978305196,0.0005,1e-06,mse,1.0,5.0,0.7724714371551007,0.10643170902039856,cpu,False
55,0.039561117703706794,0.07551445360960705,0.13031116127967834,0.03858557343482971,0.19643210897108881,0.8676651739700625,0.1521698534488678,0.0775715708732605,0.27851673356058965,0.7357642869268493,0.0005,1e-06,mse,1.0,5.0,0.7590429084547331,0.1105075420346111,cpu,False
56,0.040366653033370684,0.15128572105563112,0.1324463039636612,0.0394074022769928,0.19851297760346248,0.8648465986218972,0.16333185136318207,0.15537777543067932,0.39417987699866075,0.4707293242261188,0.0005,1e-06,mse,1.0,5.0,0.8639544643379226,0.10860745806712657,cpu,False
57,0.04014343815439852,0.10169588193696524,0.13104471564292908,0.0391705147922039,0.19791542333078518,0.8656590466096186,0.15657773613929749,0.10443035513162613,0.3231568584010343,0.6442739278963441,0.0005,1e-06,mse,1.0,5.0,0.855348483882707,0.10777433298062533,cpu,False
58,0.03978577659317598,0.10229679918182748,0.13064338266849518,0.03880990296602249,0.19700229177860468,0.8668958316254797,0.154753178358078,0.10494107753038406,0.3239461028170953,0.6425342331190048,0.0005,1e-06,mse,1.0,5.0,0.8131534834409552,0.10687449993565679,cpu,False
59,0.03923314664430394,0.06456066340906545,0.12897859513759613,0.03824808821082115,0.19557118451045172,0.8688226276989812,0.14868149161338806,0.06632141023874283,0.25752943567433767,0.774086234652557,0.0005,1e-06,mse,1.0,5.0,0.7767510629668007,0.1065522920107469,cpu,False
60,0.04025271638018179,0.06416295025763767,0.13096527755260468,0.03928582742810249,0.1982065272086227,0.8652635656681554,0.1481323540210724,0.06584937125444412,0.2566113233168874,0.7756941517110361,0.0005,1e-06,mse,1.0,5.0,0.879456526568895,0.10710100003052503,cpu,False
61,0.039081112251400506,0.06784460069445361,0.12914255261421204,0.038106828927993774,0.19520970500462773,0.8693071190339632,0.15093106031417847,0.06970173120498657,0.26401085433176147,0.7625716945179324,0.0005,1e-06,mse,1.0,5.0,0.7908513786827946,0.10733245895244181,cpu,False
62,0.03885864452682298,0.0685076337839876,0.12860479950904846,0.037879377603530884,0.19462625106478026,0.8700871933488052,0.1556219756603241,0.07014504075050354,0.2648490905223266,0.7610616272438214,0.0005,1e-06,mse,1.0,5.0,0.7710318496086501,0.10754925000946969,cpu,False
63,0.038425527210605104,0.08450404291174242,0.128138929605484,0.037340644747018814,0.19323727577002014,0.871934853529462,0.15098929405212402,0.0867735967040062,0.2945735845319573,0.7044189763729964,0.0005,1e-06,mse,1.0,5.0,0.7336788650368412,0.10684591706376523,cpu,False
64,0.03873421878268688,0.12690781837861453,0.1282990276813507,0.03774704411625862,0.19428598538303946,0.8705410514727484,0.158037930727005,0.13034407794475555,0.3610319624974436,0.5560027886234844,0.0005,1e-06,mse,1.0,5.0,0.7845959117931633,0.10674820793792605,cpu,False
