feature,importance
numerical__has_basement,7.8807764
numerical__years_since_renovation,1.5325162
numerical__above_living_ratio,1.4165655
numerical__renovated,1.3517959
numerical__yr_renovated,1.2271955
numerical__basement_ratio,1.1116236
numerical__sqft_basement,1.0152056
categorical__zipcode_98103.0,0.3235078
categorical__zipcode_98052.0,0.23660986
categorical__zipcode_98117.0,0.22947252
categorical__zipcode_98004.0,0.21264338
categorical__zipcode_98074.0,0.20752275
categorical__zipcode_98006.0,0.20727172
categorical__zipcode_98053.0,0.20716658
categorical__zipcode_98115.0,0.20711203
categorical__zipcode_98118.0,0.19555493
categorical__zipcode_98027.0,0.18866149
categorical__zipcode_98038.0,0.18542503
categorical__zipcode_98034.0,0.18461576
categorical__zipcode_98059.0,0.17871283
categorical__zipcode_98033.0,0.17312422
categorical__zipcode_98075.0,0.15799879
categorical__zipcode_98125.0,0.15387675
categorical__zipcode_98116.0,0.15328237
categorical__zipcode_98040.0,0.14828818
categorical__zipcode_98065.0,0.14457656
categorical__zipcode_98155.0,0.13778114
categorical__zipcode_98058.0,0.13636455
categorical__zipcode_98122.0,0.12877358
categorical__zipcode_98042.0,0.12562184
categorical__zipcode_98199.0,0.1236812
categorical__zipcode_98144.0,0.123352885
categorical__zipcode_98056.0,0.12179594
categorical__zipcode_98105.0,0.117799684
categorical__zipcode_98133.0,0.11365187
categorical__zipcode_98126.0,0.11188922
categorical__zipcode_98136.0,0.10956566
categorical__zipcode_98107.0,0.10749408
categorical__zipcode_98029.0,0.107453
categorical__zipcode_98001.0,0.102583036
categorical__zipcode_98023.0,0.10149691
categorical__zipcode_98005.0,0.09930639
categorical__zipcode_98106.0,0.0959623
categorical__zipcode_98112.0,0.09457655
categorical__zipcode_98092.0,0.09420742
categorical__zipcode_98008.0,0.09408925
categorical__zipcode_98119.0,0.08817824
categorical__zipcode_98055.0,0.08763547
categorical__zipcode_98072.0,0.08687768
categorical__zipcode_98146.0,0.08478521
categorical__zipcode_98045.0,0.08334841
categorical__zipcode_98028.0,0.08228417
numerical__sqft_above,0.08073879
categorical__zipcode_98198.0,0.07747736
categorical__zipcode_98022.0,0.07724432
categorical__zipcode_98031.0,0.06985985
categorical__zipcode_98109.0,0.069192305
categorical__zipcode_98030.0,0.06880312
categorical__zipcode_98166.0,0.06756282
categorical__zipcode_98003.0,0.066184565
categorical__zipcode_98077.0,0.062472213
categorical__zipcode_98168.0,0.05952221
categorical__zipcode_98108.0,0.059457183
categorical__zipcode_98011.0,0.05369556
categorical__zipcode_98177.0,0.049157497
categorical__zipcode_98007.0,0.047145918
categorical__zipcode_98102.0,0.04532067
categorical__zipcode_98014.0,0.04522189
categorical__zipcode_98002.0,0.042816676
categorical__zipcode_98019.0,0.040103834
categorical__zipcode_98178.0,0.033779934
categorical__zipcode_98032.0,0.033489585
categorical__zipcode_98010.0,0.0319852
categorical__zipcode_98188.0,0.029550523
numerical__lat,0.028713178
categorical__zipcode_98039.0,0.025653869
numerical__grade,0.024401894
categorical__zipcode_98070.0,0.023573328
categorical__zipcode_98024.0,0.016493628
numerical__yr_built,0.015474191
categorical__zipcode_98148.0,0.013591108
numerical__long,0.0129881
numerical__living_lot_ratio,0.011319887
numerical__sqft_living15,0.009984913
numerical__sale_year,0.00664443
numerical__view,0.005866387
numerical__house_age,0.0042645046
numerical__condition,0.0039868904
numerical__sqft_lot15,0.0039550825
numerical__sqft_lot,0.0035567998
numerical__sale_month,0.0030655332
numerical__sqft_living,0.002530671
numerical__floors,0.002169069
numerical__waterfront,0.001863017
numerical__lot15_ratio,0.0011308991
numerical__living15_ratio,0.0010541253
numerical__bathrooms,0.00062924845
numerical__bedrooms,-0.00030883477
