feature,importance
numerical__grade,0.3208019188614383
numerical__lat,0.2832793083193765
numerical__sqft_living,0.166761878479376
numerical__long,0.04662168612768871
numerical__sqft_living15,0.027462031070159466
numerical__sqft_above,0.016296217052553432
numerical__house_age,0.014359432576158683
numerical__sqft_lot15,0.012838761617548428
numerical__sqft_lot,0.011219844292785055
numerical__yr_built,0.010642053363360724
numerical__living15_ratio,0.010069402211818911
numerical__lot15_ratio,0.009716416720625216
numerical__view,0.009059578329057974
numerical__living_lot_ratio,0.008557538027802574
numerical__sale_month,0.006529767533928852
numerical__bathrooms,0.005246123143766337
numerical__waterfront,0.00466399528546348
numerical__sqft_basement,0.004095546152589933
numerical__condition,0.004000934454175305
numerical__bedrooms,0.0025836453157047656
numerical__above_living_ratio,0.0025274397421090034
numerical__basement_ratio,0.0022471050868193895
numerical__floors,0.0019328865801871368
categorical__zipcode_98103.0,0.0018837458540116553
numerical__sale_year,0.0013946635641053577
categorical__zipcode_98004.0,0.0013687115011794826
categorical__zipcode_98115.0,0.0008662343134031944
categorical__zipcode_98144.0,0.0007526168666039664
categorical__zipcode_98034.0,0.0007383559736101314
categorical__zipcode_98040.0,0.0006602022187407794
categorical__zipcode_98198.0,0.0006075719730002843
categorical__zipcode_98011.0,0.0005953494565429253
numerical__yr_renovated,0.0005157917007937821
categorical__zipcode_98133.0,0.00048296845104616696
categorical__zipcode_98058.0,0.00043641888042818445
categorical__zipcode_98027.0,0.00037577821191646187
categorical__zipcode_98112.0,0.0003597529289941474
numerical__years_since_renovation,0.0003486075045731579
categorical__zipcode_98092.0,0.00033792151467405834
categorical__zipcode_98166.0,0.0003258303075079198
categorical__zipcode_98108.0,0.00030661575834577527
categorical__zipcode_98001.0,0.0002910137751227967
categorical__zipcode_98106.0,0.00028522606294973095
categorical__zipcode_98168.0,0.00024387957251576075
categorical__zipcode_98136.0,0.00023639445974681247
categorical__zipcode_98122.0,0.0002323171970602965
categorical__zipcode_98014.0,0.00023073724777510746
categorical__zipcode_98074.0,0.00021043782481092004
categorical__zipcode_98038.0,0.000189064632126318
numerical__has_basement,0.00017296418095667353
categorical__zipcode_98033.0,0.0001720348019150253
categorical__zipcode_98039.0,0.000170055031663401
categorical__zipcode_98119.0,0.00016802795523126123
categorical__zipcode_98059.0,0.00016621439267187058
categorical__zipcode_98006.0,0.00016281022001257556
categorical__zipcode_98118.0,0.00015005983463751488
categorical__zipcode_98005.0,0.00014693169035017296
categorical__zipcode_98105.0,0.0001448259320577341
categorical__zipcode_98053.0,0.0001394358899344775
categorical__zipcode_98116.0,0.00012760836294782967
categorical__zipcode_98146.0,0.00012752280476584332
categorical__zipcode_98148.0,0.0001231962734747685
numerical__renovated,0.00011826213736927839
categorical__zipcode_98109.0,0.00011543947482428706
categorical__zipcode_98019.0,0.00011233548241173494
categorical__zipcode_98155.0,0.00011167270766285736
categorical__zipcode_98178.0,0.00011068114874783975
categorical__zipcode_98056.0,0.00010852188723137376
categorical__zipcode_98023.0,0.0001005348533928771
categorical__zipcode_98125.0,9.607803001367497e-05
categorical__zipcode_98126.0,9.111642243838447e-05
categorical__zipcode_98042.0,8.967392555143358e-05
categorical__zipcode_98199.0,8.769687811164546e-05
categorical__zipcode_98055.0,8.424323864902047e-05
categorical__zipcode_98052.0,8.242859206328069e-05
categorical__zipcode_98177.0,8.1712991913824e-05
categorical__zipcode_98010.0,7.691629068103913e-05
categorical__zipcode_98070.0,6.875186912241835e-05
categorical__zipcode_98102.0,5.57791439499283e-05
categorical__zipcode_98188.0,5.2523825236475765e-05
categorical__zipcode_98029.0,4.9309659706259955e-05
categorical__zipcode_98028.0,4.711217808267607e-05
categorical__zipcode_98007.0,4.597816761239845e-05
categorical__zipcode_98072.0,4.5025637718355204e-05
categorical__zipcode_98117.0,4.412398167380907e-05
categorical__zipcode_98065.0,4.110316800735643e-05
categorical__zipcode_98107.0,3.734994304677347e-05
categorical__zipcode_98003.0,3.71490244028263e-05
categorical__zipcode_98045.0,3.5564858253167984e-05
categorical__zipcode_98008.0,3.165999026942605e-05
categorical__zipcode_98032.0,3.1433195990313004e-05
categorical__zipcode_98031.0,3.140853644169823e-05
categorical__zipcode_98002.0,2.771189015064601e-05
categorical__zipcode_98024.0,2.6524237298113138e-05
categorical__zipcode_98030.0,2.275703049156376e-05
categorical__zipcode_98075.0,1.8265046193982808e-05
categorical__zipcode_98022.0,1.1484648546473809e-05
categorical__zipcode_98077.0,1.0264440044115132e-05
